dataset,method,horizon,context,mse
ETTh1,magnitude,96,1024,7.251088
ETTh1,unified,96,2048,6.999827
ETTh1,sparsegpt,96,2048,7.492072
ETTh1,magnitude,96,2048,8.250988
ETTh1,unified,192,512,8.120831
ETTh1,sparsegpt,192,512,9.004779
ETTh1,magnitude,192,512,7.909661
ETTh1,unified,192,1024,7.248169
ETTh1,sparsegpt,192,1024,7.329250
ETTh1,magnitude,192,1024,8.071841
ETTh1,unified,192,2048,8.164865
ETTh1,sparsegpt,192,2048,8.852009
ETTh1,magnitude,192,2048,10.997838
ETTh1,unified,336,512,8.476212
ETTh1,sparsegpt,336,512,8.636360
ETTh1,magnitude,336,512,8.597344
ETTh1,unified,336,1024,9.785707
ETTh1,sparsegpt,336,1024,10.717838
ETTh1,magnitude,336,1024,11.181873
ETTh1,unified,336,2048,9.982463
ETTh1,sparsegpt,336,2048,10.749002
ETTh1,magnitude,336,2048,14.710131
ETTh2,unified,96,512,27.616375
ETTh2,sparsegpt,96,512,30.982330
ETTh2,magnitude,96,512,31.389471
ETTh2,unified,96,1024,26.666346
ETTh2,sparsegpt,96,1024,26.650639
ETTh2,magnitude,96,1024,31.377167
ETTh2,unified,96,2048,28.654264
ETTh2,sparsegpt,96,2048,31.708826
ETTh2,magnitude,96,2048,39.489937
ETTh2,unified,192,512,30.273373
ETTh2,sparsegpt,192,512,33.615997
ETTh2,magnitude,192,512,33.563763
ETTh2,unified,192,1024,27.400591
ETTh2,sparsegpt,192,1024,29.990583
ETTh2,magnitude,192,1024,34.748272
ETTh2,unified,192,2048,33.875797
ETTh2,sparsegpt,192,2048,34.868500
ETTh2,magnitude,192,2048,49.609219
ETTh2,unified,336,512,30.474174
ETTh2,sparsegpt,336,512,33.420742
ETTh2,magnitude,336,512,39.868313
ETTh2,unified,336,1024,33.331478
ETTh2,sparsegpt,336,1024,38.213932
ETTh2,magnitude,336,1024,45.414673
ETTh2,unified,336,2048,39.531845
ETTh2,sparsegpt,336,2048,41.274647
ETTh2,magnitude,336,2048,66.224953
ETTm1,wanda,96,512,3.796852
ETTm1,wanda,96,1024,3.698565
ETTm1,wanda,96,2048,3.567886
ETTm1,wanda,192,512,5.285578
ETTm1,wanda,192,1024,5.284368
ETTm1,wanda,192,2048,4.788225
ETTm1,wanda,336,512,6.351359
ETTm1,wanda,336,1024,6.584810
ETTm1,wanda,336,2048,6.899142
ETTm2,wanda,96,512,23.032722
ETTm2,wanda,96,1024,20.340399
ETTm2,wanda,96,2048,18.417274
ETTm2,wanda,192,512,31.024063
ETTm2,wanda,192,1024,27.577538
ETTm2,wanda,192,2048,24.407701
ETTm2,wanda,336,512,37.621437
ETTm2,wanda,336,1024,30.528105
ETTm2,wanda,336,2048,31.166788
ETTh1,wanda,96,512,7.718300
ETTh1,wanda,96,1024,7.759077
ETTh1,wanda,96,2048,9.595644
ETTh1,wanda,192,512,8.899175
ETTh1,wanda,192,1024,8.019192
ETTh1,wanda,192,2048,11.528352
ETTh1,wanda,336,512,9.279454
ETTh1,wanda,336,1024,10.816186
ETTh1,wanda,336,2048,13.888422
ETTh2,wanda,96,512,33.440987
ETTh2,wanda,96,1024,30.888115
ETTh2,wanda,96,2048,44.006836
ETTh2,wanda,192,512,36.245079
ETTh2,wanda,192,1024,35.780125
ETTh2,wanda,192,2048,53.687378
ETTh2,wanda,336,512,36.151951
ETTh2,wanda,336,1024,46.747940
ETTh2,wanda,336,2048,65.731369
